p1,p2,p3,p5,p4,p6,p7,p8
6.8087114e-09,.076129481,.76057255,.16329794,0,0,0,0
2.9480373e-07,.32328174,.6686424,.0080755875,0,0,0,0
1.0145561e-06,.39114952,.58189046,.026958993,0,0,0,0
1.6943325e-13,.055017754,.75831217,.18667011,0,0,0,0
1.0603980e-14,.015722563,.731821,.25245643,0,0,0,0
1.0687337e-08,.17789346,.76437664,.057729904,0,0,0,0
1.7135854e-08,.4905988,.50396454,.0054366449,0,0,0,0
.21678139,.57265598,.2102474,.00031523156,0,0,0,0
2.3761997e-06,.67217606,.32688284,.00093871052,0,0,0,0
.050158616,.8551774,.094610147,.00005385566,0,0,0,0
3.5391184e-12,.020453924,.68142444,.2981216,0,0,0,0
8.1114022e-09,.18169801,.7777617,.040540304,0,0,0,0
1.6311722e-12,.025284449,.70057636,.27413917,0,0,0,0
2.7393737e-11,.042322319,.91240793,.045269758,0,0,0,0
2.2715687e-08,.23353797,.75107491,.015387074,0,0,0,0
.56002617,.43405759,.0059132529,2.9815599e-06,0,0,0,0
5.3317012e-12,.035332646,.75703138,.20763597,0,0,0,0
.34426188,.56959385,.086022057,.00012220332,0,0,0,0
.00094312459,.89375275,.10516593,.00013819989,0,0,0,0
4.1813964e-06,.905402,.094486967,.00010686601,0,0,0,0
1.0697779e-16,.0043104514,.49292266,.50276691,0,0,0,0
.14107801,.64948076,.20814019,.0013010462,0,0,0,0
4.6262150e-09,.54107183,.45743635,.0014917807,0,0,0,0
.21760622,.75673187,.025649076,.000012856982,0,0,0,0
2.4849636e-09,.39897761,.59200221,.0090201944,0,0,0,0
1.6808304e-09,.2339143,.73720556,.028880157,0,0,0,0
8.0057289e-06,.68803531,.30852902,.0034276673,0,0,0,0
.000023068498,.23768453,.6375429,.12474947,0,0,0,0
6.2237982e-14,.044913437,.88447309,.070613459,0,0,0,0
8.2075545e-08,.4793964,.51770443,.0028991178,0,0,0,0
.000070322472,.49742401,.50145298,.0010526915,0,0,0,0
2.2027247e-07,.32607621,.66457838,.0093451682,0,0,0,0
.00016351519,.90108114,.09866111,.000094224109,0,0,0,0
.99999982,1.4929867e-07,3.1166517e-11,6.3029819e-17,0,0,0,0
.076928578,.81690878,.10590138,.00026129792,0,0,0,0
2.2492827e-10,.020168314,.71553564,.26429603,0,0,0,0
.12397318,.81013554,.065789215,.00010208176,0,0,0,0
2.2051969e-15,.0019022791,.29245427,.70564342,0,0,0,0
2.1760682e-09,.0016566872,.14292549,.85541785,0,0,0,0
2.0136068e-17,.00030557785,.18608022,.81361419,0,0,0,0
1.1793659e-07,.25191548,.73908609,.0089982823,0,0,0,0
3.2528628e-06,.55859238,.43891105,.0024933005,0,0,0,0
1.5245115e-07,.4639309,.52598202,.0100869,0,0,0,0
3.1942241e-06,.072046995,.62386173,.30408806,0,0,0,0
.024266778,.76865435,.20585896,.0012199082,0,0,0,0
.00002319922,.36688796,.61166996,.02141889,0,0,0,0
.000051520641,.97941434,.020532606,1.5162019e-06,0,0,0,0
4.7102586e-11,.14554143,.79848707,.055971514,0,0,0,0
8.1388264e-11,.057326254,.85159355,.091080196,0,0,0,0
.000029409348,.78708422,.21260093,.00028543509,0,0,0,0
2.9781375e-11,.18732023,.79367191,.019007847,0,0,0,0
1.6930091e-12,.0035980849,.53316176,.46324018,0,0,0,0
2.4306515e-14,.0065846443,.54262704,.45078832,0,0,0,0
2.8279518e-17,.00077060185,.27874589,.72048348,0,0,0,0
1.1911434e-09,.44480395,.54605693,.0091391066,0,0,0,0
